sharpe,max_dd,excess_periods,trades,strategy,risk_pct,stop_mult
0.7210720797275363,-0.10573469898736654,1,1349,MeanReversionOnly,0.0004,1.5
0.7708916646594826,-0.11080667759514984,1,1349,MeanReversionOnly,0.0004,2.0
0.7831090039979981,-0.10989577596377309,1,1349,MeanReversionOnly,0.0004,2.5
0.7264032439856037,-0.12633563102654133,1,1349,MeanReversionOnly,0.0005,1.5
0.7786206939089477,-0.13214307090861632,1,1349,MeanReversionOnly,0.0005,2.0
0.7930507975559989,-0.13131153431720988,1,1349,MeanReversionOnly,0.0005,2.5
0.7290202455363358,-0.14504435516062775,1,1349,MeanReversionOnly,0.0006,1.5
0.7840827119242832,-0.15123674371820595,1,1349,MeanReversionOnly,0.0006,2.0
0.7971223918527309,-0.15026334800111985,1,1349,MeanReversionOnly,0.0006,2.5
0.7348496875512844,-0.16262070946986162,1,1349,MeanReversionOnly,0.0007,1.5
0.7901197234388064,-0.16901391569647184,1,1349,MeanReversionOnly,0.0007,2.0
0.803789205333011,-0.16821475601818558,1,1349,MeanReversionOnly,0.0007,2.5
0.7364683398163787,-0.105360581542983,1,1314,MomentumOnly,0.0004,1.5
0.7873520747605767,-0.10581056077150375,1,1314,MomentumOnly,0.0004,2.0
0.8023614930981001,-0.10549974509151783,1,1315,MomentumOnly,0.0004,2.5
0.7418096453930558,-0.12637046154608977,1,1314,MomentumOnly,0.0005,1.5
0.7944159475543161,-0.12665337495513707,1,1314,MomentumOnly,0.0005,2.0
0.8103539180304757,-0.12643426833221794,1,1315,MomentumOnly,0.0005,2.5
0.7473337176471286,-0.1458624245803436,1,1314,MomentumOnly,0.0006,1.5
0.8018123773477672,-0.1457749367297243,1,1314,MomentumOnly,0.0006,2.0
0.8189590193764579,-0.14530127713572938,1,1315,MomentumOnly,0.0006,2.5
0.749871407147006,-0.16331752967756474,1,1314,MomentumOnly,0.0007,1.5
0.8087336031787891,-0.16323275162144302,1,1314,MomentumOnly,0.0007,2.0
0.8261720408832808,-0.16252692754686437,1,1315,MomentumOnly,0.0007,2.5
0.6551012047157804,-0.09129206817189195,1,1276,MomentumTop5,0.0004,1.5
0.7457830505207019,-0.09857208544327112,1,1276,MomentumTop5,0.0004,2.0
0.7566796429318569,-0.09726001630702596,1,1276,MomentumTop5,0.0004,2.5
0.6611979106026616,-0.11030588609127867,1,1276,MomentumTop5,0.0005,1.5
0.7516607101738648,-0.11820939689902188,1,1276,MomentumTop5,0.0005,2.0
0.7625419411207378,-0.11702855050563654,1,1276,MomentumTop5,0.0005,2.5
0.664440841037172,-0.12819419201372384,1,1276,MomentumTop5,0.0006,1.5
0.7561769043839611,-0.13667359480897612,1,1276,MomentumTop5,0.0006,2.0
0.765836168938485,-0.13509173608365965,1,1276,MomentumTop5,0.0006,2.5
0.6647107225370901,-0.14429451321426945,1,1276,MomentumTop5,0.0007,1.5
0.761275287829,-0.15351078191725342,1,1276,MomentumTop5,0.0007,2.0
0.7711390678448999,-0.15202797752780328,1,1276,MomentumTop5,0.0007,2.5
0.8568272176932509,-0.10837087813862889,1,1368,MeanReversionTop5,0.0004,1.5
0.8462550611926004,-0.10309799942042897,1,1368,MeanReversionTop5,0.0004,2.0
0.897918599439859,-0.10649182833346282,1,1368,MeanReversionTop5,0.0004,2.5
0.8668328261725241,-0.12951759448978728,1,1368,MeanReversionTop5,0.0005,1.5
0.8558820675640746,-0.12351198369819738,1,1368,MeanReversionTop5,0.0005,2.0
0.9086583464954577,-0.12696603589044986,1,1368,MeanReversionTop5,0.0005,2.5
0.8748222611732538,-0.1486470392165663,1,1368,MeanReversionTop5,0.0006,1.5
0.8640402985414518,-0.1418134522375658,1,1368,MeanReversionTop5,0.0006,2.0
0.9185549077584166,-0.1454817849707979,1,1368,MeanReversionTop5,0.0006,2.5
0.8828713253450481,-0.16635421851753474,1,1368,MeanReversionTop5,0.0007,1.5
0.8718429610217789,-0.15890522840628707,1,1368,MeanReversionTop5,0.0007,2.0
0.9284220230308495,-0.16235226039647543,1,1368,MeanReversionTop5,0.0007,2.5
